SOURCE,DESTINATION
39191,14301
10200,1788
20935,30038
42841,24229
23337,9564
32296,26284
15235,42452
25686,14422
35336,6407
24687,24992
36935,41170
33878,1906
21680,41329
45728,39200
19579,46875
21914,6979
27631,33052
44496,13907
17985,43760
13451,18684
2842,36254
19485,17216
3121,21718
41458,44859
9047,44406
19797,43111
45580,4328
22498,687
8941,36353
6924,26357
20943,24586
36018,24494
30939,13701
12216,16142
2745,21125
15305,1486
11160,29510
15104,36371
13316,24847
21129,10540
25954,19673
30899,8272
15146,44630
44121,46159
1167,44545
23265,12133
29923,9603
9950,28533
46136,17424
39158,24456
39119,15055
4684,36515
7808,4176
39497,46457
38184,16041
34484,22600
41233,36573
2168,7587
33196,27269
20931,42009
26251,8043
5028,7816
2545,28673
17963,40254
3137,40526
39112,43740
23368,28885
44028,7190
19127,17206
7929,34935
13420,39452
17503,15348
15416,38502
45831,18719
30928,1808
41079,31986
3045,15458
14769,29749
40845,9215
47104,26958
19857,11764
22515,45993
23904,24064
39979,14193
27800,22500
4746,21179
5060,815
43456,14438
45155,7561
31467,23250
21922,35875
18338,8900
7247,7372
26951,17400
22039,44427
28588,14706
43057,5329
21104,45889
31006,29793
24859,29817
16981,38739
8979,30423
44114,43676
11788,28446
35856,9165
26490,7040
14590,21925
44294,12963
37,34003
19830,2940
6752,14548
16895,18826
7229,7334
12938,34259
6594,20203
11641,24032
31600,46772
8388,29319
6508,26979
8880,41821
16691,20553
32563,38813
24457,20274
10118,28189
13394,42123
38101,29205
39551,33999
31315,34140
7015,13014
7535,5959
27228,38084
35398,46303
11098,7096
46140,15071
10520,21413
33583,17556
41976,11459
20593,16983
45829,4461
4569,15843
38694,17529
5072,29236
24193,19180
29130,18341
21933,24336
15059,30698
12441,3872
27183,28608
45759,14207
24375,28875
5053,12331
32442,30577
17843,45167
16277,10281
1193,30085
41096,14372
24251,34992
34405,32492
5769,11481
15976,40043
11397,34572
38295,21538
553,14390
17272,26181
43180,21843
38377,32989
23423,6205
35299,8593
17026,10090
21530,30997
7638,27584
33437,35349
1844,33963
22684,45096
5476,12074
11455,34093
39255,15285
16925,7644
9105,40329
8644,41742
6731,4583
11943,728
42423,1050
14487,27725
8237,1401
892,15295
22203,9541
45427,8699
11788,4267
12911,21091
14308,12163
6027,28353
14698,16976
28239,19720
36950,33601
3071,3696
9562,3028
29951,13212
9521,29196
38871,21035
18496,40139
25678,4248
45276,691
18667,2052
17968,41311
33713,32851
37144,27566
29242,1438
12229,20486
24236,29153
4692,32521
35056,17006
15698,25628
7376,33296
30121,13367
30440,33081
2039,28830
581,23385
2001,599
45995,41093
28895,14674
18903,42323
6348,21955
22305,10072
18934,15557
28501,4962
44347,44788
5110,7892
25643,850
34530,2887
7823,7982
12413,27391
32796,19627
459,29114
27497,14054
25633,24281
33146,14802
16973,37872
31141,32235
9998,22422
2554,39215
10216,33665
26037,36624
33075,31111
2667,5222
34967,43345
28168,25088
46717,35733
34029,27070
32940,40275
12294,38154
4373,21735
19228,15776
16193,19877
22293,38788
39112,25361
37727,2770
17566,17653
31428,15924
31517,20530
37768,23394
2788,43639
39300,29309
45671,19534
22962,30511
16684,17844
32321,20629
1499,20668
30789,31809
43456,26103
28113,40615
31415,3365
1473,31769
18383,44054
20484,10746
10276,41385
36252,35823
14905,1486
32565,29673
33665,45103
40900,2162
26247,31619
45611,35730
34556,44932
24147,20339
1065,40206
5190,10615
17388,43837
45635,23503
37320,43248
23589,8066
29494,28616
16106,14897
37511,1048
25663,45423
28972,14326
35086,26700
36600,37846
33236,9518
4394,18351
20980,1990
3364,6250
43035,10758
12171,46490
20549,38886
26655,23529
1042,3721
13636,15700
19023,5504
10501,37255
41080,36754
44827,27590
18357,28535
200,32038
35525,31487
43091,42718
18661,1634
31047,12552
20057,16577
19973,25395
24082,29169
37775,893
46295,6153
33815,8024
32191,40870
14060,25678
40941,18749
33573,34386
23703,6081
15550,8924
32385,46804
9062,5182
14230,28924
33984,29749
43325,14139
35215,17983
45389,36145
35378,23197
922,28286
34782,16797
623,12824
6091,34584
10464,31111
31953,24146
29530,42551
15731,26536
35400,30506
4929,15503
36835,21471
23077,12697
9697,14036
22100,36108
24833,34036
45103,21018
18376,21135
7256,44084
29002,18797
5158,29359
35398,30068
4925,46124
42295,16568
17836,42907
28116,1016
26157,27138
9999,22784
22312,4548
25176,8818
37937,5281
24851,28943
8931,13131
29901,41583
38117,34174
2287,15653
24550,13316
39434,42386
15371,46614
41219,36251
38185,45198
35386,6729
1804,22215
24043,35893
19500,19694
37624,14314
6395,32381
5898,43176
25152,21244
4129,41625
42810,2793
14568,4178
3948,34925
8613,16520
9662,7117
28105,28773
7082,45414
35947,31151
29864,15581
15994,30692
26792,6508
44425,38061
19348,13578
16336,36116
28745,39760
11099,23851
10337,5870
29637,41863
32442,34392
34451,14017
26877,26619
27434,4067
3430,20671
26508,21412
3920,27514
12434,6054
5931,12184
26318,22908
2417,33601
9186,5236
1050,7051
36360,44952
24074,20299
12392,21906
8465,5187
22359,5409
4328,38971
24821,42143
24337,23612
30361,40051
16446,26722
25126,34087
37909,40397
6291,11325
26335,27010
43829,900
4308,18688
28529,422
41961,4928
18518,6552
15009,26192
7446,10819
35926,33874
21277,21546
27385,3984
38135,17089
24385,38619
8224,21792
24432,1391
30013,28849
44845,28704
40584,45782
34976,30644
3620,14321
31056,40350
27094,24459
4758,34156
26191,4628
17816,41280
8034,12947
12821,39644
37275,34915
36018,12538
33789,20504
2822,3829
19877,6834
41552,15009
16448,12633
13785,38787
25835,33243
39045,33423
33878,11976
26180,39054
41186,46708
15137,3552
8269,45767
44228,5110
30683,34751
3875,40701
12847,21442
28211,19050
39221,17256
44809,34608
24646,8440
35599,1880
18773,13919
20744,13714
30708,6606
26354,42638
7402,7107
16729,10687
44377,13521
16621,35692
28679,39384
39179,20061
16950,4442
10491,9257
23267,45653
35256,20476
43402,39992
44231,3880
11381,32899
12849,11375
4377,21227
14654,45982
39586,26231
37633,27347
13371,12302
13819,15269
29053,26075
27750,17716
10364,33053
30062,36275
17214,6364
42684,32404
39165,42747
14173,36117
21128,23816
36362,34935
23574,20246
30612,24969
41022,34424
37207,29572
2519,33485
35674,38122
1660,14956
46640,27683
20861,42134
29044,23773
41736,22455
3190,28202
15806,4045
34128,12884
28400,26685
26702,47185
25719,27742
3198,37886
3445,761
3356,40871
34255,35897
35381,8073
7849,44541
41090,1772
31474,37886
29866,32096
43190,29458
44041,46159
36561,39825
44805,34449
43313,19702
33045,7276
26563,6764
35613,40267
40201,24684
26133,24865
34331,2983
11221,20277
14525,3373
19469,15536
9104,22037
7169,27247
7592,40894
46020,23946
4520,31894
13805,19401
16627,7309
29734,46744
17844,17522
4235,12824
568,30081
33121,22594
47065,5298
23065,16573
44128,25157
11111,12108
15284,33230
42344,31360
16732,579
5350,4619
33163,5614
23403,18305
3472,38929
25236,11091
7374,13131
32454,29361
30285,10741
46365,23726
35025,39318
32500,17842
5166,14525
41414,33450
12343,11889
23619,45588
26103,21261
13087,6995
27566,11078
21684,29021
46541,28241
46105,5438
28154,5460
20453,6165
19122,11852
42119,19354
18490,24077
28242,16112
17143,30672
27213,10626
38583,15963
15611,46978
28817,12953
20811,3444
14833,12719
42640,12077
37054,11561
11485,27111
37266,8327
108,25673
24347,41210
40744,22363
31763,38341
36737,8801
40633,36475
5578,29157
4511,38563
25670,29061
14100,33607
26288,2746
39372,14944
17730,11576
22878,30451
10461,21410
7817,33874
40328,28227
19993,46655
14318,20290
37948,6601
32284,2690
10838,44557
33641,33608
37843,14359
12038,23208
4455,43337
43242,24745
9511,13548
28459,18185
32247,17020
34432,10401
19501,21791
39247,20864
43558,30440
29165,36764
24787,17387
1054,23664
23527,10364
38220,9174
26764,35468
36775,4990
16371,3000
30169,3461
12814,35836
35626,29451
4635,23334
5431,46119
30500,21679
5973,12412
4031,8978
17809,35958
23312,18493
45308,30001
34820,36623
4051,16921
44179,38403
22388,19513
34334,40096
42599,34758
861,28690
40699,42579
29957,15344
12687,7853
25890,20616
15556,7860
17302,41801
12685,8487
40309,17749
26255,24018
35863,6811
40494,9722
9000,20339
39910,39381
42973,46689
14787,9836
11225,17160
4029,14321
24452,4758
13874,19276
14855,38203
13139,28905
38213,17732
14212,4338
34035,12875
16053,247
46821,12546
5842,2302
39646,38153
38523,6670
9777,41956
36627,19608
40523,20491
37609,38411
5958,14777
8081,26535
35601,4274
25196,24688
46734,18433
5363,38750
36075,33573
33078,3913
22146,23139
28310,27520
7001,7015
41866,5742
30205,16644
30003,5340
21178,35054
44235,26619
10626,29812
28245,36939
20891,20569
40705,9246
28127,26851
29488,25153
27497,30969
28963,25879
25414,2091
12264,36571
14382,24641
25129,18229
37022,15271
763,19063
34312,15612
46035,46541
27148,45927
2722,8706
44308,37628
13331,24234
24978,7848
16038,31984
17089,36978
2908,27041
21009,4296
29125,16226
39698,14470
11731,38553
32731,31145
32562,2634
29372,1294
33040,20486
25558,40423
28282,30399
28436,13230
45475,186
29144,4622
28919,22092
3995,39329
21016,44215
9900,20191
33109,33886
17568,43543
19155,23293
22787,21088
29825,35221
21792,1475
7025,34346
9378,39799
830,11809
10026,23919
124,12495
11706,34158
44336,13854
41972,27377
38749,20403
12167,24382
4374,25432
42676,17401
20500,15828
35592,29719
8283,15846
29847,258
7032,2317
30368,29495
41389,25623
9882,44100
20265,41830
37180,42363
6623,17019
14464,28183
10825,23023
28130,45855
1729,7865
12997,35295
19829,5438
1672,1012
26465,44468
30326,2539
3430,8031
26088,20362
36160,43656
10089,36273
26493,26586
840,18373
1990,38509
9079,34486
14486,8352
20962,43177
42423,40831
34128,32672
6124,16066
21570,22247
41855,20649
8136,3742
33424,38746
2364,25627
43339,44255
43398,40952
32014,39424
7257,37175
3677,7194
26491,7264
47118,46693
1748,28131
3763,30679
2351,11615
30465,17612
27249,19462
43015,3752
6751,36
2226,40084
7049,13541
14640,29216
31825,35082
11937,44561
4652,15466
17506,37624
33096,44017
6117,4739
44492,28646
21555,33270
4351,5068
18357,16949
28516,43059
25886,40861
40302,39985
38370,11851
3568,27093
18516,11818
37430,5084
42054,34186
8685,25564
24093,46486
6309,23047
4729,17458
35958,9628
40843,26176
23991,14988
6777,38419
46675,33492
41802,45034
36360,19427
8785,22896
22248,40278
45786,127
41453,24903
36816,33936
17713,33711
29263,25625
21965,32713
7040,19993
39546,33381
23224,46926
33163,23417
20191,16944
42762,22440
16559,46981
24193,43123
15752,14816
29407,41574
42909,13872
8898,38047
5427,496
29059,3725
6994,19400
37205,39416
4534,35978
40472,43579
1506,24769
20549,3160
22108,4376
11395,30167
44993,45634
5818,12241
18639,24503
10816,33954
17510,44625
24869,31525
33288,37531
16970,11398
15640,13548
4489,28860
39586,47219
42660,173
1159,29542
19763,26213
1502,16872
35288,30468
19774,28069
20138,23906
30118,3698
45432,33232
39422,28550
4897,44487
9892,45714
26593,11337
16706,35851
3778,2799
11707,43242
6854,33062
25839,10384
43612,35148
30816,3154
14547,39431
12047,9848
26350,36659
21778,18702
44242,1935
44942,39306
16005,8353
29928,35120
42620,7937
1058,32436
3736,33901
36175,19092
11279,23079
21025,14313
17696,925
39885,34947
10225,34443
7543,34297
4124,8691
14015,35038
23538,31268
42121,25990
43343,21568
31091,17162
19662,19463
18574,25105
3282,13321
5141,26047
27798,39482
46665,27383
7791,14331
23247,32059
44880,19523
41949,32372
22261,22699
1885,4823
5975,32061
35130,13066
9301,39938
24693,25563
20406,34534
4810,36657
7964,25952
13327,29841
35886,43664
35194,27194
41815,46069
35226,44319
30596,46949
35045,23059
15853,630
17670,41601
14152,17461
38258,18564
21768,45000
33896,10023
43876,25138
33908,2742
20873,24711
10262,2437
32093,7714
12812,29129
46741,19116
5850,39812
26090,5648
46082,25417
36184,25070
26023,9214
32538,3678
43658,359
7916,36183
25140,45833
5354,10982
38365,34906
26607,6863
33105,41514
17058,19385
36128,33836
31030,3557
24452,27590
31883,33513
32541,16200
1567,30684
41029,31898
4615,41125
43528,24081
25673,7389
31913,114
41569,9389
4130,29347
20772,44164
15147,18737
18340,36941
17905,13432
27727,10594
13401,358
2115,5828
11403,13677
4803,15859
8989,18892
10947,8201
11848,27432
1596,25541
5702,33108
1089,17277
8981,45311
4428,45113
16468,43770
42737,44400
14595,22167
35036,28337
18880,43196
2043,24176
7964,20956
28878,22715
34997,42327
18692,37591
43911,26398
10563,11808
8621,2940
20455,9246
27535,34578
39996,34440
1928,37790
46916,40025
2282,42988
9054,21236
6020,14898
43825,13098
39109,16098
27594,20467
40045,2614
33124,47124
534,6486
1645,38213
46925,30826
26294,322
27880,11473
8535,33887
32000,42481
39256,45421
39570,13726
28666,33382
12635,20597
3731,24219
3363,46158
5564,18880
47163,16585
33769,5635
19067,18791
17720,2258
33557,16895
36910,3334
2697,46338
6233,314
42133,39778
41070,46920
32756,29200
22711,14818
46023,37030
42904,30766
35335,25756
23252,23581
32597,31668
14094,18320
13146,39292
24611,19781
13789,8338
38121,10800
42738,39142
5964,23213
34650,4646
35927,15135
2597,45754
8349,12600
11855,42133
6965,34129
13790,10710
29490,32791
24039,30145
19513,10119
35342,28536
6712,32688
30857,24989
19000,4463
17378,19890
24601,35985
37566,32493
35936,23285
25277,26011
29654,26722
26006,35706
27546,36599
44562,14681
24824,36394
42439,28785
44778,38239
984,3940
34342,45239
32326,18507
2602,10306
3113,17294
44875,46117
15365,38046
12705,20376
10742,4627
32082,1074
19474,9898
15615,20298
24507,20227
36144,36916
41816,20190
43366,20498
9385,17420
38308,11003
30442,34200
5218,42357
39601,38948
37039,4972
26737,22697
29314,16993
26983,36763
35448,854
7651,40982
18080,28350
847,4074
23154,43369
46804,9973
41459,19152
28521,26709
13018,24185
1624,14900
31423,31583
43471,41153
41570,9012
205,37807
45610,17857
19792,21337
288,42509
21196,32223
23155,7407
27223,35090
3802,47075
4939,3740
10490,2654
30498,5115
15595,3240
27348,25749
12724,14795
39320,6346
16567,30250
43143,28339
43573,35352
19889,23735
40426,44024
45915,21644
23370,28474
22921,33560
9468,37050
3248,9032
22783,1871
2974,31289
11854,17168
36449,41323
6418,23675
19514,36697
1879,38696
10906,38328
18020,40334
28966,13780
11107,32184
35086,17950
1153,3438
17036,41589
25687,31583
7697,41259
19416,37666
46552,29964
21545,7721
20476,2208
21817,38592
31053,7838
46008,37236
5198,43580
12129,1716
1547,13778
30429,41515
13130,3149
13438,17440
32113,251
8177,5688
6871,8574
16273,35448
6984,45128
11569,22389
5437,23616
8094,12667
15557,15963
29464,44508
17214,25089
33755,12445
40468,12026
26718,13436
41802,40309
23217,21941
17979,6544
38677,39618
14744,38159
25389,10922
44128,7918
12055,6221
30490,30103
18966,1631
2618,2888
40671,10278
18692,44295
42294,28429
39310,13129
26577,37268
29085,16735
39624,4814
12260,7741
40178,4553
35683,9392
239,16283
33654,3891
18042,43213
20815,22531
31785,20713
19013,30331
27550,42654
2335,19313
30553,16852
13311,5442
7559,10862
45576,31687
17261,25072
15622,39602
27511,9941
43300,34426
39387,45914
31567,32975
9113,19885
11263,18714
38960,22564
19348,24557
41461,13159
45833,7526
39560,24412
46331,19683
23334,23471
34345,33708
27977,28445
41998,24032
5682,41077
13464,35159
26286,26371
34364,32964
11225,28004
15746,36183
21951,18757
30450,13496
3619,45449
40704,23270
1331,42005
3430,43674
46869,25652
32612,21576
9587,35012
45238,16257
44249,24072
24837,1148
19485,15488
42225,15132
36058,22686
40496,3473
13986,14743
39502,16885
16666,4760
35760,10486
23760,8732
45403,27131
37065,19433
43284,34756
24969,2753
7933,17269
34428,12010
44980,32111
20458,10724
33870,42862
27943,33595
39747,42856
22026,19831
43816,30229
46053,9773
30761,13570
44753,42528
37793,23392
17140,35154
459,38169
32096,37016
19201,21750
28224,3024
16585,33795
1421,20369
45870,27721
4276,25089
38931,3541
35288,43818
17524,31650
23005,21953
21889,37340
27349,15802
32829,12279
7528,17294
22124,37671
41925,7536
12632,34886
20245,18965
29426,21400
28941,15741
14272,37793
32446,18840
46683,36413
37595,10309
20074,44820
23552,19750
23118,18450
1060,17569
7207,19596
32802,1306
31942,30225
20000,15156
43242,23537
1229,15154
32521,24376
17450,39703
40263,45736
639,19564
25191,38902
34100,39415
41718,7031
14484,33621
11686,33195
16749,43007
3454,30436
16373,4172
38093,36218
42811,25211
24114,24841
15355,4561
29581,10802
47132,1519
23637,44973
19030,42896
36557,36424
24485,46130
10873,10558
10025,47032
30521,38219
33353,31395
23040,34339
8634,47113
1432,33276
3404,20371
38569,42829
25084,16947
17195,41701
34894,3108
4997,13161
21530,9082
23955,5261
1337,14104
1091,22410
8578,46889
46897,31983
8288,27008
41567,10336
40180,39017
40588,20587
28077,37735
13023,16137
40305,37972
42948,44831
22591,12523
27891,32528
18645,40934
12968,16717
34485,3696
21825,26421
39426,26841
44782,44697
34479,9269
13222,15617
19835,24318
46391,24861
26990,44669
32965,23467
21410,27531
26483,7753
7376,39565
17059,5401
40781,12657
22179,31196
27757,45619
20303,21799
5224,7425
33466,23995
21369,12562
9376,5688
15681,1975
3778,42976
10558,44229
29891,39884
8505,16062
15295,26173
30900,1934
1398,44613
36588,19031
17062,13541
40949,44881
31756,10055
34770,20197
13101,17779
6637,11982
9647,33945
39913,20314
24347,45541
44572,11878
7735,23022
43079,35601
14497,12625
20902,18257
46468,41501
20020,18325
16562,37431
21631,41360
4929,46465
19380,28914
44942,6008
13088,827
13428,11172
25893,30062
18102,29669
27281,38337
45150,9119
1902,6354
28989,12195
34621,33280
28312,9083
25959,33254
43051,20225
1519,3366
15641,15756
24476,28771
38012,26336
14966,2745
31324,36772
24814,22460
22342,24030
9962,18584
4835,7933
27546,3835
33116,27322
40305,15854
26451,871
24792,43176
32777,5130
38197,14220
8469,37022
22739,6771
9450,39018
44232,14934
44174,32284
498,20843
24434,19145
18881,29210
23104,42513
41208,8190
6112,34355
40896,4660
1737,31937
13838,5032
705,40714
7121,5153
5603,35856
27133,31821
23653,16469
10334,23072
33333,34625
45505,27946
9356,40204
23221,12807
38828,34281
10370,15073
37815,31390
9616,44370
43058,22063
2478,15937
15020,19123
42696,7258
44915,13581
28916,16344
31308,38418
18671,46230
42017,23775
37597,6989
34589,11031
35792,8957
21253,23019
5109,18569
3476,2958
34325,43051
37226,44791
2054,26135
14844,19364
23367,9256
21525,28536
46714,35348
12150,15811
36797,27982
1567,1443
11557,9535
40292,40997
22065,24816
8639,8861
27919,21474
8247,22791
41847,38741
1839,36113
26255,13408
5236,13804
42738,23075
45663,14328
5594,40406
30429,29226
39019,20251
18816,24330
7527,34670
8146,34921
10084,42478
37504,11519
6375,40949
9292,38629
24619,43916
25905,21462
3035,41839
12910,21135
43626,23272
44990,38593
567,30216
2323,17160
14389,35409
10284,7259
46459,5816
36167,9173
8575,5040
10787,7537
3905,8246
32761,3540
23613,33419
8126,33624
41155,10546
20538,17775
2745,34118
36674,44168
41728,9560
26643,41201
43706,28885
20206,10989
16193,41797
13303,4328
28522,25627
18933,30953
31715,8823
8262,28992
8422,2498
23940,24424
41900,44571
38392,44394
46840,30196
40097,18929
37554,11137
40596,12395
43432,37293
33825,12067
8788,33080
15306,18672
13401,30174
11501,7910
8387,10355
9214,13264
2285,239
23677,14221
14534,8490
560,26182
27825,26014
14770,34146
12739,324
26172,29325
19665,32436
45714,367
26500,20475
29707,32380
12182,36393
37511,28201
34153,5856
14300,31579
22419,27661
39552,17097
5943,3126
45550,30143
2123,36048
27947,19427
23102,34881
39325,7387
7578,26449
45681,13761
37572,45323
40599,9363
14880,20260
9557,5997
9064,7009
835,1733
45796,20708
17181,16180
11571,16495
22111,43272
6970,24584
19452,6932
4271,3134
34563,42588
20808,12636
16701,13900
16180,44048
45494,44708
10606,38512
1196,1450
36797,31168
21478,14580
10534,43600
31369,34027
46742,41305
1547,45907
36425,11352
31895,22639
40814,18934
10496,21192
32403,15671
31695,26621
17421,18725
45730,46913
2942,21015
28841,19663
43751,35941
14416,3140
33732,45098
8577,21318
22325,39333
10819,34591
4582,43685
42717,15946
10134,34361
26709,11454
3464,30571
44910,26190
1495,36928
8126,47109
35387,22336
41976,38642
14125,33775
12970,3383
41655,4703
2878,34560
23125,33112
18761,23
1520,45016
41758,41315
20563,1593
42027,1217
7207,28092
11397,38019
24375,22692
29832,33815
39936,10404
11213,40199
34202,29300
17129,29885
46681,46960
2046,17027
21061,19756
46025,18424
46832,27540
12141,12963
40207,12364
44628,30632
4188,10058
6946,5869
22585,34442
36458,15122
30594,46886
27064,18199
59,35934
4335,5870
22600,21531
19236,7969
28716,21322
46699,26313
1281,11512
44565,33700
1642,41188
16633,30125
21084,4713
23471,3211
2179,6314
20902,42519
26880,19221
26035,46219
3007,41560
4569,499
25537,5654
15352,46638
4803,11807
12585,30874
36335,10183
43337,21073
32541,4357
10250,28910
2732,42277
1691,27076
31006,224
3252,24127
24240,1214
11358,46399
14467,1450
4795,4533
12329,14671
40912,43818
28974,11930
44959,30357
26890,13555
32301,22665
39908,5265
13968,5432
9372,16763
43257,31690
15775,8621
1850,22279
22559,35409
7616,47130
384,39316
547,6297
11654,8933
11902,36175
18156,531
39228,11386
12774,1476
28450,21576
43241,12578
32406,6997
8996,23710
2834,46114
30480,11574
39355,46851
29168,37082
1486,12855
22757,38313
3084,36124
13003,35374
26916,3582
4787,38760
34013,9495
46078,15878
29918,4769
31208,15753
29224,26671
34754,749
910,582
29558,8750
32760,40440
11664,43703
748,36740
26593,31896
2684,26648
7588,17065
8269,17407
18602,12466
27864,15971
7234,37132
4174,20806
1063,3944
9033,26004
4059,45656
31455,34452
27063,1753
31354,10876
42486,9339
42243,15916
1497,12640
37543,31970
22470,30324
31106,4064
9151,669
45930,13419
5149,22505
37050,9232
26942,34376
46583,45754
12981,38150
23094,5172
8068,29308
46399,38903
4133,39204
32505,40336
43127,37434
36992,42798
10337,7134
8182,3942
22409,17531
1812,11644
16146,46045
20403,18826
46699,25126
20529,20989
12383,33530
4915,23851
4592,44149
23215,5895
18791,36945
1160,13373
44073,18197
1476,25058
29239,1264
16405,36285
27949,26595
16870,45125
7692,8378
38113,35558
24550,41887
27943,5970
40314,8658
2046,38082
37836,25169
26327,32976
6942,26148
40149,3417
19839,38481
27557,16124
4131,4119
2847,20681
27562,43583
23336,30088
37831,3144
904,45889
41914,31314
39751,5740
15381,38451
46198,36814
41845,14429
38187,22141
18612,12893
45608,44813
4,8767
26263,26319
20804,11929
45274,1851
45101,19492
26454,8680
11130,23399
43051,43628
23299,8204
8693,29104
10836,18581
19014,40729
41061,29700
15735,19523
16193,44609
32284,28715
43143,37861
30870,15059
13677,23911
17855,9372
33606,39945
19494,28734
24855,43107
37588,35914
26499,10743
15866,23238
41167,47027
42672,10889
21914,29957
39771,10626
31594,9661
4838,36771
11950,46380
44029,43693
10781,6770
41781,33510
42899,45431
10752,8875
37485,3129
5319,37884
22061,38794
20371,38797
18599,45643
24833,42826
28323,22484
8440,11000
42198,6164
3497,22725
39438,11425
29492,43445
39867,22595
36900,46945
33754,46552
43958,5166
19750,17379
1144,8346
43932,15682
26646,10992
12733,12084
12663,6401
34956,35348
18414,28577
343,25421
31026,40705
11414,6431
24687,5889
27588,31288
34087,17560
28653,12977
13771,45317
23525,17667
27124,23461
6522,44633
1451,31153
2889,28238
17470,41729
38826,44597
32152,32145
3883,40454
39402,8465
46640,3592
27247,27689
33576,6111
20117,8768
